2026-09-02T01:25:31Z,200,210
2026-09-02T01:25:32Z,200,86
2026-09-02T01:25:32Z,200,83
2026-09-02T01:25:33Z,200,98
2026-09-02T01:25:34Z,200,91
2026-09-02T01:25:35Z,200,106
2026-09-02T01:25:36Z,200,81
2026-09-02T01:25:37Z,200,94
2026-09-02T01:25:37Z,200,108
2026-09-02T01:25:38Z,200,87
2026-09-02T01:25:39Z,200,112
2026-09-02T01:25:39Z,200,91
2026-09-02T01:25:40Z,200,104
2026-09-02T01:25:41Z,200,137
2026-09-02T01:25:41Z,200,85
2026-09-02T01:25:42Z,200,101
2026-09-02T01:25:43Z,200,88
2026-09-02T01:25:44Z,200,89
2026-09-02T01:25:44Z,200,83
2026-09-02T01:25:45Z,200,109
2026-09-02T01:25:46Z,200,83
2026-09-02T01:25:47Z,200,87
2026-09-02T01:25:48Z,200,89
2026-09-02T01:25:49Z,200,102
2026-09-02T01:25:50Z,200,93
2026-09-02T01:25:50Z,200,84
2026-09-02T01:25:51Z,200,88
2026-09-02T01:25:52Z,200,88
2026-09-02T01:25:53Z,200,91
2026-09-02T01:25:54Z,200,106
2026-09-02T01:25:55Z,200,88
2026-09-02T01:25:55Z,200,86
2026-09-02T01:25:56Z,200,99
2026-09-02T01:25:57Z,200,90
2026-09-02T01:25:58Z,200,94
2026-09-02T01:25:58Z,200,84
2026-09-02T01:25:59Z,200,87
2026-09-02T01:25:59Z,200,92
2026-09-02T01:26:00Z,200,85
2026-09-02T01:26:01Z,200,81
2026-09-02T01:26:02Z,200,89
2026-09-02T01:26:03Z,200,88
2026-09-02T01:26:03Z,200,105
2026-09-02T01:26:04Z,200,90
2026-09-02T01:26:05Z,200,87
2026-09-02T01:26:05Z,200,89
2026-09-02T01:26:06Z,200,94
2026-09-02T01:26:07Z,200,90
2026-09-02T01:26:08Z,200,89
2026-09-02T01:26:08Z,200,105
2026-09-02T01:26:09Z,200,87
2026-09-02T01:26:09Z,200,91
2026-09-02T01:26:10Z,200,114
2026-09-02T01:26:11Z,200,87
2026-09-02T01:26:12Z,200,95
2026-09-02T01:26:12Z,200,107
2026-09-02T01:26:13Z,200,85
2026-09-02T01:26:14Z,200,111
2026-09-02T01:26:15Z,200,85
2026-09-02T01:26:16Z,200,85
2026-09-02T01:26:17Z,200,86
2026-09-02T01:26:17Z,200,90
2026-09-02T01:26:18Z,200,100
2026-09-02T01:26:18Z,200,82
2026-09-02T01:26:19Z,200,86
2026-09-02T01:26:20Z,200,90
2026-09-02T01:26:20Z,200,108
2026-09-02T01:26:21Z,200,87
2026-09-02T01:26:22Z,200,106
2026-09-02T01:26:22Z,200,83
2026-09-02T01:26:23Z,200,94
2026-09-02T01:26:24Z,200,104
2026-09-02T01:26:24Z,200,146
2026-09-02T01:26:25Z,200,85
2026-09-02T01:26:26Z,200,89
2026-09-02T01:26:27Z,200,110
2026-09-02T01:26:27Z,200,89
2026-09-02T01:26:28Z,200,99
2026-09-02T01:26:29Z,200,106
2026-09-02T01:26:30Z,200,94
2026-09-02T01:26:31Z,200,93
2026-09-02T01:26:31Z,200,92
2026-09-02T01:26:32Z,200,121
2026-09-02T01:26:33Z,200,104
2026-09-02T01:26:34Z,200,83
2026-09-02T01:26:35Z,200,90
2026-09-02T01:26:36Z,200,88
2026-09-02T01:26:36Z,200,89
2026-09-02T01:26:37Z,200,99
2026-09-02T01:26:37Z,200,90
2026-09-02T01:26:38Z,200,82
2026-09-02T01:26:39Z,200,93
2026-09-02T01:26:40Z,200,85
2026-09-02T01:26:41Z,200,107
2026-09-02T01:26:42Z,200,88
2026-09-02T01:26:43Z,200,96
2026-09-02T01:26:43Z,200,91
2026-09-02T01:26:44Z,200,87
2026-09-02T01:26:44Z,200,129
2026-09-02T01:26:45Z,200,90
2026-09-02T01:26:45Z,200,99
2026-09-02T01:26:46Z,200,94
2026-09-02T01:26:47Z,200,88
2026-09-02T01:26:48Z,200,117
2026-09-02T01:26:49Z,200,132
2026-09-02T01:26:50Z,200,84
2026-09-02T01:26:50Z,200,84
2026-09-02T01:26:51Z,200,86
2026-09-02T01:26:52Z,200,128
2026-09-02T01:26:52Z,200,99
2026-09-02T01:26:53Z,200,108
2026-09-02T01:26:54Z,200,105
2026-09-02T01:26:55Z,200,111
2026-09-02T01:26:56Z,200,136
2026-09-02T01:26:57Z,200,116
2026-09-02T01:26:57Z,200,134
2026-09-02T01:26:58Z,200,123
2026-09-02T01:26:59Z,200,129
2026-09-02T01:27:00Z,200,104
2026-09-02T01:27:00Z,200,105
2026-09-02T01:27:01Z,200,106
2026-09-02T01:27:02Z,200,428
2026-09-02T01:27:03Z,200,106
2026-09-02T01:27:04Z,200,119
2026-09-02T01:27:05Z,200,112
2026-09-02T01:27:06Z,200,91
2026-09-02T01:27:06Z,200,92
2026-09-02T01:27:07Z,200,102
2026-09-02T01:27:08Z,200,132
2026-09-02T01:27:08Z,200,92
2026-09-02T01:27:09Z,200,102
2026-09-02T01:27:10Z,200,111
2026-09-02T01:27:11Z,200,90
2026-09-02T01:27:12Z,200,93
2026-09-02T01:27:12Z,200,100
2026-09-02T01:27:13Z,200,90
2026-09-02T01:27:14Z,200,139
2026-09-02T01:27:15Z,200,87
2026-09-02T01:27:16Z,200,109
2026-09-02T01:27:16Z,200,88
2026-09-02T01:27:17Z,200,88
2026-09-02T01:27:18Z,200,451
2026-09-02T01:27:19Z,200,87
2026-09-02T01:27:20Z,200,98
2026-09-02T01:27:21Z,200,94
2026-09-02T01:27:21Z,200,112
2026-09-02T01:27:22Z,200,110
2026-09-02T01:27:23Z,200,90
2026-09-02T01:27:24Z,200,88
2026-09-02T01:27:26Z,200,207
2026-09-02T01:27:26Z,200,85
2026-09-02T01:27:27Z,200,85
2026-09-02T01:27:28Z,200,94
2026-09-02T01:27:28Z,200,82
2026-09-02T01:27:29Z,200,85
2026-09-02T01:27:30Z,200,92
2026-09-02T01:27:30Z,200,101
2026-09-02T01:27:31Z,200,88
2026-09-02T01:27:32Z,200,83
2026-09-02T01:27:33Z,200,94
2026-09-02T01:27:34Z,200,89
2026-09-02T01:27:35Z,200,91
2026-09-02T01:27:36Z,200,109
2026-09-02T01:27:36Z,200,77
2026-09-02T01:27:37Z,200,92
2026-09-02T01:27:38Z,200,110
2026-09-02T01:27:39Z,200,88
2026-09-02T01:27:40Z,200,95
2026-09-02T01:27:40Z,200,82
2026-09-02T01:27:41Z,200,102
2026-09-02T01:27:42Z,200,85
2026-09-02T01:27:42Z,200,89
2026-09-02T01:27:43Z,200,95
2026-09-02T01:27:44Z,200,90
2026-09-02T01:27:45Z,200,96
2026-09-02T01:27:46Z,200,86
2026-09-02T01:27:47Z,200,90
2026-09-02T01:27:48Z,200,88
2026-09-02T01:27:49Z,200,201
2026-09-02T01:27:50Z,200,83
2026-09-02T01:27:50Z,200,82
2026-09-02T01:27:51Z,200,129
2026-09-02T01:27:51Z,200,95
2026-09-02T01:27:52Z,200,87
2026-09-02T01:27:53Z,200,83
2026-09-02T01:27:53Z,200,83
2026-09-02T01:27:54Z,200,84
2026-09-02T01:27:55Z,200,83
2026-09-02T01:27:55Z,200,109
2026-09-02T01:27:56Z,200,94
2026-09-02T01:27:56Z,200,90
2026-09-02T01:27:57Z,200,98
2026-09-02T01:27:58Z,200,95
2026-09-02T01:27:59Z,200,94
2026-09-02T01:27:59Z,200,91
2026-09-02T01:28:00Z,200,101
2026-09-02T01:28:01Z,200,91
2026-09-02T01:28:01Z,200,88
2026-09-02T01:28:02Z,200,88
2026-09-02T01:28:03Z,200,104
2026-09-02T01:28:04Z,200,87
2026-09-02T01:28:05Z,200,82
2026-09-02T01:28:06Z,200,86
2026-09-02T01:28:07Z,200,87
2026-09-02T01:28:07Z,200,85
2026-09-02T01:28:08Z,200,89
2026-09-02T01:28:09Z,200,84
2026-09-02T01:28:10Z,200,92
2026-09-02T01:28:11Z,200,87
2026-09-02T01:28:12Z,200,89
2026-09-02T01:28:13Z,200,83
2026-09-02T01:28:13Z,200,80
2026-09-02T01:28:14Z,200,90
2026-09-02T01:28:15Z,200,79
2026-09-02T01:28:15Z,200,90
2026-09-02T01:28:16Z,200,90
2026-09-02T01:28:17Z,200,84
2026-09-02T01:28:18Z,200,87
2026-09-02T01:28:19Z,200,93
2026-09-02T01:28:21Z,200,588
2026-09-02T01:28:21Z,200,81
2026-09-02T01:28:22Z,200,85
2026-09-02T01:28:23Z,200,99
2026-09-02T01:28:24Z,200,88
2026-09-02T01:28:25Z,200,86
2026-09-02T01:28:25Z,200,84
2026-09-02T01:28:26Z,200,88
2026-09-02T01:28:27Z,200,86
2026-09-02T01:28:28Z,200,85
2026-09-02T01:28:28Z,200,84
2026-09-02T01:28:29Z,200,99
2026-09-02T01:28:30Z,200,89
2026-09-02T01:28:31Z,200,98
2026-09-02T01:28:32Z,200,84
2026-09-02T01:28:32Z,200,95
2026-09-02T01:28:33Z,200,92
2026-09-02T01:28:34Z,200,103
2026-09-02T01:28:34Z,200,106
2026-09-02T01:28:35Z,200,97
2026-09-02T01:28:36Z,200,84
2026-09-02T01:28:36Z,200,103
2026-09-02T01:28:37Z,200,90
2026-09-02T01:28:37Z,200,84
2026-09-02T01:28:38Z,200,85
2026-09-02T01:28:39Z,200,98
2026-09-02T01:28:39Z,200,87
2026-09-02T01:28:40Z,200,82
2026-09-02T01:28:41Z,200,86
2026-09-02T01:28:42Z,200,82
2026-09-02T01:28:42Z,200,90
2026-09-02T01:28:43Z,200,100
2026-09-02T01:28:44Z,200,94
2026-09-02T01:28:45Z,200,109
2026-09-02T01:28:46Z,200,106
2026-09-02T01:28:46Z,200,83
2026-09-02T01:28:47Z,200,108
2026-09-02T01:28:47Z,200,88
2026-09-02T01:28:48Z,200,90
2026-09-02T01:28:49Z,200,187
2026-09-02T01:28:50Z,200,81
